"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",145.581983,-14.523517,NA,"Paracanthurus hepatus"
"gbif",115.612584,-8.29538,NA,"Paracanthurus hepatus"
"gbif",167.694404,8.739842,NA,"Paracanthurus hepatus"
"gbif",32.6844,-27.5249,NA,"Paracanthurus hepatus"
"gbif",32.6809,-27.5333,NA,"Paracanthurus hepatus"
"gbif",96.877649,-12.085451,NA,"Paracanthurus hepatus"
"gbif",152.718298,-24.11153,NA,"Paracanthurus hepatus"
"gbif",145.409142,19.675859,12,"Paracanthurus hepatus"
"gbif",145.705524,18.049572,20,"Paracanthurus hepatus"
"gbif",145.723408,15.255971,12.5,"Paracanthurus hepatus"
"gbif",145.701895,15.110629,23,"Paracanthurus hepatus"
"gbif",145.720234,15.105225,22,"Paracanthurus hepatus"
"gbif",145.750224,15.091283,25.7,"Paracanthurus hepatus"
"gbif",145.767186,16.710502,21,"Paracanthurus hepatus"
"gbif",145.630041,14.931544,12,"Paracanthurus hepatus"
"gbif",145.630041,14.931544,11,"Paracanthurus hepatus"
"gbif",145.619424,14.952465,27,"Paracanthurus hepatus"
"gbif",145.580049,14.864917,20,"Paracanthurus hepatus"
"gbif",145.56905,14.847157,13,"Paracanthurus hepatus"
"gbif",145.658422,15.077733,13,"Paracanthurus hepatus"
"gbif",145.65793,15.086594,20,"Paracanthurus hepatus"
"gbif",145.656101,15.069572,12,"Paracanthurus hepatus"
"gbif",145.597205,15.055609,21,"Paracanthurus hepatus"
"gbif",153.3881,-29.9231,NA,"Paracanthurus hepatus"
"gbif",153.2692,-30.0176,NA,"Paracanthurus hepatus"
"gbif",55.83,-21.15,NA,"Paracanthurus hepatus"
"gbif",152.302933,-23.796683,NA,"Paracanthurus hepatus"
"gbif",152.38175,-23.848667,NA,"Paracanthurus hepatus"
"gbif",152.2825,-23.745917,NA,"Paracanthurus hepatus"
"gbif",55.82176,-21.1469,NA,"Paracanthurus hepatus"
"gbif",36.328,-18.846,NA,"Paracanthurus hepatus"
"gbif",-176.47949,0.20655,21,"Paracanthurus hepatus"
"gbif",-176.47949,0.20655,22,"Paracanthurus hepatus"
"gbif",-176.45694,0.19311,23,"Paracanthurus hepatus"
"gbif",-176.45685,0.19029,19,"Paracanthurus hepatus"
"gbif",145.4505,-14.6528,NA,"Paracanthurus hepatus"
"gbif",145.4505,-14.65277,NA,"Paracanthurus hepatus"
"gbif",153.6283,-28.611,NA,"Paracanthurus hepatus"
"gbif",153.5252,-27.4135,NA,"Paracanthurus hepatus"
"gbif",153.62831,-28.611,NA,"Paracanthurus hepatus"
"gbif",153.52519,-27.41351,NA,"Paracanthurus hepatus"
"gbif",105.6681,-10.4296,NA,"Paracanthurus hepatus"
"gbif",105.6658,-10.4281,NA,"Paracanthurus hepatus"
"gbif",55.865852,-4.313293,NA,"Paracanthurus hepatus"
"gbif",118.243618,2.285408,NA,"Paracanthurus hepatus"
"gbif",130.567445,-2.244887,NA,"Paracanthurus hepatus"
"gbif",130.543094,-0.580346,NA,"Paracanthurus hepatus"
"gbif",95.2688,5.8646,NA,"Paracanthurus hepatus"
